name,address,zip,food_type,average_price
U.B. Dogs ,185 N Franklin St,60606,"Hot Dogs, Chicago Grill, Burgers",2.78
Under 55 Cafe ,55 E Monroe St,60603,"Delis, Salads, Sandwiches",6.53
Venice Cafe ,233 S Wacker Dr,60606,"Pizza, Italian, Local/Organic",7.68
Villa Fresh Italian Kitchen ,18 W Jackson Blvd,60604,Pizza,7.58
Vivere ,71 W Monroe St,60603,Italian,15.03
Westminster Hot Dog ,11 N Wells St,60606,"Hot Dogs, Chicago Grill",0
Which Wich ,108 N State St,60602,Sandwiches,1.17
Wildberry Pancakes and Cafe ,130 E Randolph St,60601,"American (Traditional), Salads, Sandwiches",8.19
Wow Bao ,175 W Jackson Blvd,60604,"Asian Fusion, Other",3.48
Wow Bao ,1 W Wacker Dr,60601,"Asian Fusion, Other",3.48
Wow Bao ,225 N Michigan Ave,60601,"Asian Fusion, Other",3.04
Al's Beef ,1079 W Taylor St,60607,"Sandwiches, Hot Dogs",4.48
Atino's Pizza ,570 W Roosevelt Rd,60607,"Pizza, Wings, Sandwiches",10.76
Aurelio's Pizza ,506 W Harrison St,60607,"Italian, Pizza",7.12
Babycakes ,Location Varies,60642,Desserts,5.79
Bacci Pizzeria ,2301 W Taylor St,60612,Pizza,14.11
Cafe Frida ,739 S Western Ave,60612,"Sandwiches, Mexican, Cafes & Coffeehouses",0
Captain Hook's Fish & Chicken ,1600 W 13th St,60608,"Seafood, Chicken, Fish & Chips",22.15
Caribou Coffee ,811 W Maxwell St,60608,Cafes & Coffeehouses,0
Caribou Coffee ,1611 N Damen Ave,60622,Cafes & Coffeehouses,0
Carm's Beef & Italian Ice ,1057 W Polk St,60607,Sandwiches,2.59
Chavas Tacos ,2333 W Grand Ave,60612,Mexican,5.03
Chez Joel Bistro ,1119 W Taylor St,60607,"French, Bistro",10.23
Chicago's Busy Burger ,1120 W Taylor St,60607,"Burgers, Hot Dogs",3.61
Chicken Express ,1247 S Western Ave,60608,"Chicken, Sandwiches",3.15
China Night Cafe ,1140 W Taylor St,60607,Chinese,9.24
Cold Stone Creamery ,1316 S Halsted St,60607,Desserts,11.49
Conte di Savoia ,1438 W Taylor St,60607,"Italian, Delis, Sandwiches",10.84
County Barbeque ,1352 W Taylor St,60607,Barbecue,8.26
Couscous ,1445 W Taylor St,60607,"Mediterranean, Middle Eastern",6.02
Damenzo's Pizza ,2324 W Taylor St,60612,"Pizza, Mexican",9.48
Davanti Enoteca ,1359 W Taylor St,60607,"Italian, Wine Bar, Pizza",9.42
De Pasada ,1519 W Taylor St,60607,Mexican,4.21
De Pasada ,1642 W Chicago Ave,60622,Mexican,4.26
Demitasse ,1066 W Taylor St,60607,"Cafes & Coffeehouses, American (Traditional)",4.83
Dosirak ,1514 W Taylor St,60607,Korean,6.01
El Coyote ,2255 W Taylor St,60612,Mexican,4.74
Eppels Restaurant ,554 W Roosevelt Rd,60607,"American (Traditional), Burgers, Diners & Coffee Shops",6.46
Firehouse Steak & Lemonade ,1600 W 13th St,60616,"Cheesesteaks, Sandwiches, Burgers",8.17
Flirty Cupcakes ,1030 W Taylor St,60607,"Desserts, Bakeries",0
Fontano's Subs ,1058 W Polk St,60607,Sandwiches,5.06
Francesca on Taylor ,1400 W Taylor St,60607,Italian,22.64
Ghareeb Nawaz Express ,807 W Roosevelt Ave,60608,"Indian, Pakistani",3.16
Golden Thai ,1509 W Taylor St,60607,Thai,6.83
Granddaddy's Subs ,2343 W Taylor St,60612,Sandwiches,4.57
HANA ,1311 W Taylor St,60607,"Sushi, Chinese, Thai",8.03
Hashbrowns ,731 W Maxwell St,60607,"American (Traditional), Diners & Coffee Shops",7.2
Hawkeye's Bar & Grill ,1458 W Taylor St,60607,"American (Traditional), Bar Food",7.08
Hong Kong Delight ,1238 S Canal St,60607,Chinese,6.66
Ichiban Sushi Cafe ,1422 W Taylor St,60607,"Japanese, Sushi",7.59
India Garden ,518 W Harrison St,60607,Indian,10.32
Janson's Drive-In ,990 S Western Ave,60612,"Burgers, Hot Dogs, Sandwiches",2.38
Jason's Deli ,1258 S Canal St,60607,"Delis, Sandwiches",5.24
Jewell To Go ,424 N Wood St,60622,"Sandwiches, Salads",17.83
Jimmy John's ,1133 W Taylor St,60607,Sandwiches,2.13
Joy Yee's Noodle Shop ,1335 S Halsted St,60607,"Noodle Shops, Sushi, Asian Fusion",10.81
Jubrano's ,1519 W Taylor St,60607,"Middle Eastern, Mediterranean, Sandwiches",5.1
Kohan ,730 W Maxwell St,60607,"Japanese, Sushi, Korean",11.79
La Lagartija Taqueria ,132 S Ashland Ave,60607,Mexican,5.13
La Taberna Tapas ,1301 S Halsted St,60607,"Spanish, Small Plates/Tapas",8.5
Lalo's ,733 W Maxwell St,60617,Mexican,11.83
Lemongrass ,1520 W Taylor St,60607,Thai,5.7
Leona's ,1419 W Taylor St,60607,"Italian, Wings, American (Traditional)",9.03
Lito's Empanadas ,1437 W Taylor St,60607,"South American, Other",2.05
Lotus Cafe ,719 W Maxwell St,60607,"Vietnamese, Sandwiches",3.53
Lu-Lu's ,1000 S Leavitt St,60612,"American (Traditional), Sandwiches",4.11
Lucky's Sandwich ,717 W Maxwell St,60607,"Sandwiches, Wings",6.36
Manny's Coffee Shop & Deli ,1141 S Jefferson St,60607,"Delis, Diners & Coffee Shops",8.35
Martello's Pizza  (CLOSED),2351 W Grand Ave,60612,Pizza,6.01
Moon's Sandwich Shop ,16 S Western Ave,60612,"Diners & Coffee Shops, Sandwiches",4.71
Morgan's Bar & Grill ,1325 S Halsted St,60607,Bar Food,9.22
Netccino ,2234 W Taylor St,60612,Cafes & Coffeehouses,2.81
New York Strip ,750 S Clinton St,60607,"American (Traditional), Bar Food",11.19
Original Ferrara Bakery ,2210 W Taylor St,60612,"Bakeries, Desserts, Pizza",11.93
Panera Bread ,1101 S Canal St,60607,"Sandwiches, Desserts, Bakeries",0
Papi's Tacos ,2324 W Taylor St,60612,Mexican,4.55
Park Tavern ,1645 W Jackson Blvd,60612,American (New),12.33
Pepe's Mexican Restaurant ,1074 W Taylor St,60607,Mexican,8.32
Pepperino Pizzeria ,1501 W Madison St,60607,"Pizza, Italian",5.53
Polk Street Pub ,548 W Polk St,60607,"American (Traditional), Bar Food",8.37
Pompei ,1531 W Taylor St,60607,"Italian, Pizza",5.75
Potbelly Sandwich Shop ,1459 W Taylor St,60607,Sandwiches,5.71
Reggio's Pizza ,1339 S Halsted St,60607,"Pizza, Italian, Wings",10.73
Rick's Bar ,939 S Western Ave,60612,"Sandwiches, Bar Food",5.04
Rooks Corner ,625 S Ashland Ave,60607,"Bistro, American (Traditional)",12.23
RoSal's ,1154 W Taylor St,60607,Italian,30.61
Sabor Express ,1230 W Taylor St,60607,"Brazilian, Sandwiches, South American",5.18
Scafuri Bakery ,1337 W Taylor St,60607,"Bakeries, Italian, Cafes & Coffeehouses",4.51
See Thru Chinese Kitchen ,1651 W Roosevelt Rd,60608,Chinese,6.27
Sinha ,2018 W Adams St,60612,"Brazilian, South American",2.67
Skinnie Piggy ,1214 W Taylor St,60607,"Desserts, Bakeries",3.57
Sophia's Pizza ,1132 W Taylor St,60607,"Pizza, Cheesesteaks",11.23
Sweet Maple Cafe ,1339 W Taylor St,60607,"Sandwiches, Diners & Coffee Shops, Southern & Soul",5.09
Sweet Miss Givings Food Truck ,Location Varies,60612,"Desserts, Bakeries",0
Taj Mahal ,1512 W Taylor St,60607,Indian,6.54
Tamale Foodie ,Location Varies,60612,"Mexican, Latin American, Other",1.96
Tatsu ,1062 W Taylor St,60607,"Japanese, Sushi",7.1
Taylor Made Pizza ,1220 W Taylor St,60607,Pizza,6.56
Thai Bowl ,1049 W Taylor St,60607,Thai,4.14
Thai Wok ,1104 W Taylor St,60607,Thai,6.95
The Bar 10 Doors (The Bar Ten Doors) ,1259 W Taylor St,60607,"Bar Food, Sandwiches",7.55
The Coffee Alley ,1152 W Taylor St,60607,Cafes & Coffeehouses,2.71
The Ogden ,1659 W Ogden Ave,60612,"Gastropub, Bar Food, American (New)",8.71
The Patio ,1503 W Taylor St,60607,"Hot Dogs, Sandwiches",4.54
The Rosebud ,1500 W Taylor St,60607,Italian,15.28
Three Aces ,1321 W Taylor St,60607,"Gastropub, Italian, American (New)",10.26
Tommy's Grill ,456 N Damen Ave,60622,Diners & Coffee Shops,3.27
Tufano's ,1073 W Vernon Park Pl,60607,Italian,10.48
Tuscany ,1014 W Taylor St,60607,Italian,41.99
Urban Union  (CLOSED),1421 W Taylor St,60607,"American (New), Wine Bar",10.75
Vintage Lounge ,1449 Taylor St,60607,"Burgers, Sandwiches, Pizza",35.35
Western Ave Shrimp House ,922 S Western Ave,60612,Seafood,4.33
White Palace Grill ,1159 S Canal St,60607,Diners & Coffee Shops,6.34
Yummy Thai ,1418 W Taylor St,60607,Thai,4.92
